Date,24k_1gram,24k_8gram,22k_1gram,22k_8gram,Date_Captured,Time_captured
02/March/2019,3269.00,26152.00,3122.00,24976.00,2019-03-11,16:08:09.049177
03/March/2019,3269.00,26152.00,3122.00,24976.00,2019-03-11,16:08:09.056182
04/March/2019,3255.00,26040.00,3108.00,24864.00,2019-03-11,16:08:09.061166
05/March/2019,3225.00,25800.00,3078.00,24624.00,2019-03-11,16:08:09.068173
06/March/2019,3227.00,25816.00,3080.00,24640.00,2019-03-11,16:08:09.073176
07/March/2019,3206.00,25648.00,3059.00,24472.00,2019-03-11,16:08:09.079180
08/March/2019,3219.00,25752.00,3072.00,24576.00,2019-03-11,16:08:09.084184
09/March/2019,3239.00,25912.00,3092.00,24736.00,2019-03-11,16:08:09.092188
10/March/2019,3239.00,25912.00,3092.00,24736.00,2019-03-11,16:08:09.099193
11/March/2019,3225.00,25800.00,3077.00,24616.00,2019-03-11,16:08:09.110202
